Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,6,647234.6,4185905.6,5,1521836589,0.001582,3/23/2018 13:23,812140
174,768a,6,647236.6,4185907.1,1.5,1521836594,0.001141,3/23/2018 13:23,839667
174,768a,5,647235.1,4185907.6,1.5,1521836599,0.000167,3/23/2018 13:23,865811
174,768a,4,647235.6,4185908.6,3,1521836604,0.000148,3/23/2018 13:23,891395
174,768a,4,647237.6,4185910.1,2.5,1521836609,0.000193,3/23/2018 13:23,917136
174,768a,4,647235.6,4185910.1,5,1521836614,0.001305,3/23/2018 13:23,942514
174,768a,8,647235.6,4185910.1,3.5,1521836619,0.000801,3/23/2018 13:23,968648
174,768a,3,647237.6,4185909.6,0,1521836630,7.60E-05,3/23/2018 13:23,19626
174,768a,5,647237.1,4185911.6,2,1521836635,0.000847,3/23/2018 13:23,46414
174,768a,6,647235.6,4185911.1,5,1521836640,0.001281,3/23/2018 13:24,71305
174,768a,4,647235.6,4185912.1,3.5,1521836645,0.001029,3/23/2018 13:24,99080
174,768a,7,647235.6,4185912.1,4,1521836650,0.001407,3/23/2018 13:24,126776
174,768a,5,647235.6,4185912.6,4,1521836655,0.001163,3/23/2018 13:24,154318
174,768a,9,647236.1,4185914.1,0.5,1521836660,0.001087,3/23/2018 13:24,183620
174,768a,4,647236.6,4185915.6,5,1521836665,0.001007,3/23/2018 13:24,219518
174,768a,5,647237.6,4185916.1,2.5,1521836670,0.000605,3/23/2018 13:24,247924
174,768a,3,647235.6,4185916.6,2,1521836675,1.80E-05,3/23/2018 13:24,275834
174,768a,3,647236.1,4185917.6,0,1521836680,5.70E-05,3/23/2018 13:24,307134
174,768a,8,647236.6,4185917.6,5,1521836685,0.000837,3/23/2018 13:24,344582
174,768a,7,647236.6,4185918.6,4,1521836690,0.000665,3/23/2018 13:24,374072
174,768a,7,647239.1,4185920.6,4.5,1521836695,0.001325,3/23/2018 13:24,402890
174,768a,8,647237.1,4185921.1,2.5,1521836700,0.00143,3/23/2018 13:25,431070
174,768a,8,647237.1,4185922.6,0,1521836705,0.000989,3/23/2018 13:25,464467
174,768a,8,647237.1,4185922.6,3,1521836710,0.000947,3/23/2018 13:25,494960
174,768a,5,647237.1,4185923.1,4,1521836715,0.001575,3/23/2018 13:25,523438
174,768a,5,647237.6,4185924.6,4,1521836720,0.001073,3/23/2018 13:25,550460
174,768a,4,647238.6,4185925.1,4,1521836725,0.000108,3/23/2018 13:25,579048
174,768a,7,647237.1,4185925.6,4.5,1521836730,0.000978,3/23/2018 13:25,608903
174,768a,6,647237.1,4185926.6,5,1521836735,0.001706,3/23/2018 13:25,637850
174,768a,7,647237.6,4185927.6,4,1521836740,0.001901,3/23/2018 13:25,663909
174,768a,8,647238.1,4185929.1,5,1521836745,0.00081,3/23/2018 13:25,691763
174,768a,7,647238.6,4185930.1,5,1521836750,0.00172,3/23/2018 13:25,719337
